Date,Piligrims,Tonsures,Hundi,Special Day,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,Special Day Weighted,Piligrims_7Day_Avg,Festival Intensity
18-02-2022,35584,18608.0,2.85,0,47,27,17,15,40,11,0,1.0,40074.0,0.0
19-02-2022,41463,21975.0,2.46,1,50,26,8,24,0,15,15,1.0336141322534529,40806.857142857145,40806.857142857145
20-02-2022,41390,20527.0,3.06,1,46,26,0,23,0,25,5,1.0336141322534529,41954.57142857143,41954.57142857143
21-02-2022,39619,21846.0,3.4,1,47,28,9,17,0,21,6,1.0336141322534529,38410.857142857145,38410.857142857145
22-02-2022,38000,17778.0,3.1,1,46,30,26,29,52,33,12,1.0336141322534529,39297.42857142857,39297.42857142857
23-02-2022,37216,22009.0,2.72,1,100,100,60,100,30,100,100,1.0336141322534529,38943.857142857145,38943.857142857145
24-02-2022,53740,26977.0,3.21,1,59,38,0,24,0,27,13,1.0336141322534529,41001.71428571428,41001.71428571428
25-02-2022,56559,28751.0,5.41,1,58,32,30,20,33,8,12,1.0336141322534529,43998.142857142855,43998.142857142855
26-02-2022,65704,33187.0,3.67,1,58,38,16,25,0,23,13,1.0336141322534529,47461.142857142855,47461.142857142855
27-02-2022,68095,29050.0,3.94,1,53,39,30,19,54,9,0,1.0336141322534529,51276.142857142855,51276.142857142855
28-02-2022,55532,25114.0,4.33,1,57,44,17,26,36,30,16,1.0336141322534529,53549.42857142857,53549.42857142857
01-03-2022,53163,20651.0,4.51,1,47,27,20,15,20,15,0,1.0336141322534529,55715.57142857143,55715.57142857143
02-03-2022,46172,19395.0,3.33,1,47,28,25,12,20,18,0,1.0336141322534529,56995.0,56995.0
03-03-2022,50511,22089.0,3.63,1,47,27,26,13,13,10,0,1.0336141322534529,56533.71428571428,56533.71428571428
04-03-2022,56686,27997.0,2.93,0,54,25,26,11,28,15,0,1.0,56551.857142857145,0.0
05-03-2022,67750,30192.0,3.13,0,49,32,27,16,0,11,22,1.0,56844.142857142855,0.0
06-03-2022,61052,27500.0,4.57,0,49,24,24,12,20,10,0,1.0,55838.0,0.0
07-03-2022,57904,26877.0,4.06,0,49,26,51,16,0,16,0,1.0,56176.857142857145,0.0
08-03-2022,58561,25401.0,4.01,0,49,22,12,11,17,0,0,1.0,56948.0,0.0
09-03-2022,59086,28701.0,3.81,0,46,24,0,12,0,17,0,1.0,58792.857142857145,0.0
10-03-2022,61620,28988.0,4.36,1,48,23,32,13,48,12,6,1.0336141322534529,60379.857142857145,60379.857142857145
11-03-2022,65192,32592.0,4.41,1,51,26,18,9,0,9,0,1.0336141322534529,61595.0,61595.0
12-03-2022,71069,34741.0,4.45,1,55,28,21,8,0,7,0,1.0336141322534529,62069.142857142855,62069.142857142855
13-03-2022,74167,33976.0,4.52,1,48,25,49,15,0,13,0,1.0336141322534529,63942.71428571428,63942.71428571428
14-03-2022,61982,27400.0,3.88,1,47,22,0,12,0,23,0,1.0336141322534529,64525.28571428572,64525.28571428572
15-03-2022,61654,25920.0,4.25,1,48,22,0,14,13,15,0,1.0336141322534529,64967.142857142855,64967.142857142855
16-03-2022,64368,31179.0,4.52,1,49,23,25,11,0,16,0,1.0336141322534529,65721.71428571429,65721.71428571429
17-03-2022,66577,31471.0,3.97,1,53,26,19,15,0,34,4,1.0336141322534529,66429.85714285714,66429.85714285714
18-03-2022,66763,33133.0,4.29,1,52,32,0,19,13,13,17,1.0336141322534529,66654.28571428571,66654.28571428571
19-03-2022,72265,34517.0,4.59,0,62,40,13,23,0,15,9,1.0,66825.14285714286,0.0
20-03-2022,70408,34932.0,4.63,0,71,51,28,37,0,57,97,1.0,66288.14285714286,0.0
21-03-2022,64425,29476.0,4.51,0,90,82,24,52,17,45,71,1.0,66637.14285714286,0.0
22-03-2022,69711,30871.0,4.41,0,75,53,12,27,46,22,63,1.0,67788.14285714286,0.0
23-03-2022,64986,33200.0,4.28,0,69,42,12,25,19,24,21,1.0,67876.42857142857,0.0
24-03-2022,63042,31218.0,4.18,0,60,40,15,13,23,13,28,1.0,67371.42857142857,0.0
25-03-2022,65418,33451.0,4.41,0,59,38,20,12,23,9,20,1.0,67179.28571428571,0.0
26-03-2022,69897,38099.0,3.92,0,79,71,15,30,100,36,47,1.0,66841.0,0.0
27-03-2022,71167,34688.0,4.46,0,59,40,24,15,17,16,0,1.0,66949.42857142857,0.0
28-03-2022,64425,29476.0,4.43,0,52,36,19,22,21,19,4,1.0,66949.42857142857,0.0
29-03-2022,54396,29334.0,4.37,1,52,33,13,14,0,8,0,1.0336141322534529,64761.57142857143,64761.57142857143
30-03-2022,61224,33930.0,4.02,1,50,31,26,21,0,11,14,1.0336141322534529,64224.142857142855,64224.142857142855
31-03-2022,54273,28089.0,4.08,1,49,28,9,13,0,5,4,1.0336141322534529,62971.42857142857,62971.42857142857
01-04-2022,56958,26029.0,3.35,1,55,28,15,16,0,19,6,1.0336141322534529,61762.857142857145,61762.857142857145
02-04-2022,62925,33893.0,4.27,1,57,31,14,18,13,11,10,1.0336141322534529,60766.857142857145,60766.857142857145
