,Date,Piligrims,Tonsures,Hundi,Special Day
430,07-03-2023,59751,20177.0,3.8,"Tarigonda Sri Lakshminarasimha Swamivari Brahmotsavams ,  Tirumala Srivari Float Festival , Sri Lakshmi Jayanthi, Sri Kumaradhara teertha Mukkoti , Purnima"
431,08-03-2023,61921,23141.0,3.68,"Tarigonda Sri Lakshminarasimha Swamivari Brahmotsavams , Holi"
432,09-03-2023,58494,24025.0,3.91,normal
433,10-03-2023,63443,26741.0,3.8,normal
434,11-03-2023,79561,36784.0,3.82,normal
435,12-03-2023,81458,,,normal
436,13-03-2023,68365,27818.0,5.65,normal
437,14-03-2023,63285,22487.0,3.6,normal
438,15-03-2023,63535,24349.0,3.96,normal
439,16-03-2023,59776,25773.0,3.72,normal
440,17-03-2023,62938,30751.0,3.24,normal
441,18-03-2023,75452,39262.0,4.05,annamacharya Vardanthi
442,19-03-2023,81700,27982.0,4.2,normal
443,20-03-2023,62824,21718.0,4.96,Tirupati Sri Kodandarama swamivari Brahmotsavams
444,21-03-2023,57559,18150.0,4.26,"Tirupati Sri Kodandarama swamivari Brahmotsavams ,  Amavasya"
445,22-03-2023,53146,18655.0,3.0,"Tirupati Sri Kodandarama swamivari Brahmotsavams , Ugadi"
446,23-03-2023,58955,25113.0,2.5,Tirupati Sri Kodandarama swamivari Brahmotsavams
447,24-03-2023,63507,29205.0,3.72,"Tirupati Sri Kodandarama swamivari Brahmotsavams , Matsya Jayanti"
448,25-03-2023,77856,35783.0,3.94,Tirupati Sri Kodandarama swamivari Brahmotsavams
449,26-03-2023,79415,28454.0,3.86,Tirupati Sri Kodandarama swamivari Brahmotsavams
450,27-03-2023,67886,29107.0,4.56,"Tirupati Sri Kodandarama swamivari Brahmotsavams , Vayalpadu Sri Pattabhiramaswamivari Brahmotsavams"
451,28-03-2023,70605,24947.0,4.79,"Tirupati Sri Kodandarama swamivari Brahmotsavams , Vayalpadu Sri Pattabhiramaswamivari Brahmotsavams"
452,29-03-2023,64754,24144.0,4.76,Vayalpadu Sri Pattabhiramaswamivari Brahmotsavams
453,30-03-2023,60699,23096.0,4.0,"Vayalpadu Sri Pattabhiramaswamivari Brahmotsavams , Srirama navami"
454,31-03-2023,61425,26430.0,3.01,"Vayalpadu Sri Pattabhiramaswamivari Brahmotsavams ,Vontimitta Sri Kodandaramaswamivari Brahmotsavams"
455,01-04-2023,75510,36272.0,3.69,"Vayalpadu Sri Pattabhiramaswamivari Brahmotsavams ,Vontimitta Sri Kodandaramaswamivari Brahmotsavams"
456,02-04-2023,82398,30076.0,4.4,"Vayalpadu Sri Pattabhiramaswamivari Brahmotsavams ,Vontimitta Sri Kodandaramaswamivari Brahmotsavams"
457,03-04-2023,70086,28832.0,4.17,"Vayalpadu Sri Pattabhiramaswamivari Brahmotsavams ,Vontimitta Sri Kodandaramaswamivari Brahmotsavams, Tirumala Srivari Vasanthotsavam"
458,04-04-2023,70497,26985.0,4.56,"Vayalpadu Sri Pattabhiramaswamivari Brahmotsavams ,Vontimitta Sri Kodandaramaswamivari Brahmotsavams, Tirumala Srivari Vasanthotsavam , Mahavir Jayanthi"
459,05-04-2023,73208,30642.0,4.12,"Vontimitta Sri Kodandaramaswamivari Brahmotsavams, Tirumala Srivari Vasanthotsavam , Tirumala Srivari Vasanthotsavam"
460,06-04-2023,60101,30991.0,4.03,"Vontimitta Sri Kodandaramaswamivari Brahmotsavams,Tumbura Theertha Mukkoti , Purnima"
461,07-04-2023,71782,36844.0,3.28,"Vontimitta Sri Kodandaramaswamivari Brahmotsavams, Good Friday"
462,08-04-2023,85450,43862.0,4.21,Vontimitta Sri Kodandaramaswamivari Brahmotsavams
463,09-04-2023,86129,28094.0,4.86,Easter
464,10-04-2023,69781,27552.0,5.16,normal
465,11-04-2023,65314,24715.0,4.48,normal
466,12-04-2023,63244,27054.0,3.31,normal
467,13-04-2023,67687,25090.0,3.95,normal
468,14-04-2023,66310,31980.0,3.16,Dr. B.R. Ambedkar Jayanti
469,15-04-2023,81305,34342.0,3.71,Vaisakhadi
470,16-04-2023,76201,28587.0,3.98,normal
471,17-04-2023,67828,28621.0,5.14,normal
472,18-04-2023,66476,25338.0,3.45,normal
473,19-04-2023,61050,22996.0,3.55,normal
474,20-04-2023,56680,18947.0,3.54, Amavasya
475,21-04-2023,57354,24398.0,3.4,normal
476,22-04-2023,72631,38529.0,2.85,"parasurama jayanthi, Ganga river Pushkaram"
477,23-04-2023,74873,27997.0,3.34,Akshaya Thruthiya
478,24-04-2023,63870,27480.0,3.88,normal
479,25-04-2023,62971,25534.0,3.39,"Sri Ramanuja Jayanthi, Sri Sankara Jayanthi"
480,26-04-2023,63382,27478.0,3.25,Sri Rama Jayanti
481,27-04-2023,65910,27838.0,2.8,normal
482,28-04-2023,59071,27651.0,4.12,normal
483,29-04-2023,75652,37027.0,3.21,Tiruchanur Sri Padmavathi Srinivasa Parinaya Mahotsavam
484,30-04-2023,82582,43526.0,3.19,Tiruchanur Sri Padmavathi Srinivasa Parinaya Mahotsavam
485,01-05-2023,81183,33990.0,3.58,"Tiruchanur Sri Padmavathi Srinivasa Parinaya Mahotsavam ,  May Day
"
486,02-05-2023,75789,27684.0,4.35,Tiruchanur Sri Padmavati Ammavari Vasanthotsavam
487,03-05-2023,68953,30579.0,2.92,Tiruchanur Sri Padmavati Ammavari Vasanthotsavam
488,04-05-2023,64707,28676.0,3.98,"Tiruchanur Sri Padmavati Ammavari Vasanthotsavam ,  Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam , Sri Nrusimha Jayanti, mathur sri tarigonda vengamamba jayanti"
489,05-05-2023,59849,30097.0,2.72,"Tiruchanur Sri Padmavati Ammavari Vasanthotsavam ,  Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam , Sri koorma jayanthi , Purnima"
