Piligrims,Tonsures,Hundi,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,condition,temperature,Timestamp,weekday,festival_count,festival_impact,holidays,Special Day Weighted,Piligrims_7Day_Avg,Festival intensity
27536,13635,2.09,36,21,0,10,0,22,42,1308,72.5,1643221800.0,0,1,68156.49102312156,0,1.0,31966.571428571428,0.0
24888,12650,2.1,60,54,35,45,0,55,76,1308,74.12,1643308200.0,0,1,68156.49102312156,0,1.0,29887.714285714286,0.0
28234,12466,2.3,66,61,12,61,0,78,89,839,73.03999999999999,1643394600.0,1,1,68156.49102312156,0,1.0,27423.85714285714,0.0
27896,11135,2.41,39,20,0,13,58,16,10,1308,76.46000000000001,1643481000.0,1,1,68156.49102312156,0,1.0,27424.0,0.0
26401,12401,2.18,37,20,13,12,0,11,21,839,80.78,1643567400.0,0,1,68156.49102312156,0,1.0,27306.571428571428,0.0
29496,12210,1.97,37,18,0,16,0,18,17,839,80.06,1643653800.0,0,2,56693.062226277376,1,1.0336141322534529,27413.85714285714,27413.85714285714
29026,15110,2.18,34,18,0,9,21,7,0,839,79.16,1643740200.0,0,1,53066.71936913452,1,1.0336141322534529,27639.571428571428,27639.571428571428
31167,15701,1.83,36,17,0,16,0,18,10,1324,79.34,1643826600.0,0,1,53066.71936913452,1,1.0336141322534529,28158.285714285717,28158.285714285717
28410,14831,2.08,40,18,15,13,17,20,12,839,81.86,1643913000.0,0,1,53066.71936913452,1,1.0336141322534529,28661.42857142857,28661.42857142857
34632,16399,2.19,41,19,0,7,66,6,0,839,80.42,1643999400.0,1,2,41337.062226277376,1,1.0336141322534529,29575.42857142857,29575.42857142857
33737,13954,2.82,36,22,10,11,0,10,0,839,77.36,1644085800.0,1,1,53066.71936913452,1,1.0336141322534529,30409.85714285714,30409.85714285714
35516,13797,2.53,37,17,0,12,0,0,13,839,79.52,1644172200.0,0,1,53066.71936913452,1,1.0336141322534529,31712.0,31712.0
30172,10829,2.22,39,21,0,8,0,8,0,839,79.34,1644258600.0,0,3,37769.062226277376,1,1.0336141322534529,31808.571428571428,31808.571428571428
32092,29985,2.45,35,20,11,13,0,44,0,839,78.08000000000001,1644345000.0,0,1,53066.71936913452,1,1.0336141322534529,32246.571428571428,32246.571428571428
32894,15770,2.65,29,14,13,7,0,17,0,839,79.16,1644431400.0,0,1,53066.71936913452,1,1.0336141322534529,32493.285714285717,32493.285714285717
32894,14359,2.55,40,22,0,21,0,13,19,839,78.25999999999999,1644517800.0,0,1,68156.49102312156,0,1.0,33133.857142857145,0.0
36333,17174,2.63,42,26,0,25,22,11,0,839,78.62,1644604200.0,1,1,56299.46222627737,1,1.0336141322534529,33376.857142857145,33376.857142857145
33356,16259,2.73,36,23,19,17,31,11,8,839,78.08000000000001,1644690600.0,1,1,68156.49102312156,0,1.0,33322.42857142857,0.0
64425,29476,2.65,41,23,8,15,15,16,0,839,79.7,1644777000.0,0,1,68156.49102312156,0,1.0,37452.28571428572,0.0
31794,16731,2.58,44,25,22,18,20,7,0,839,79.34,1644863400.0,0,1,68156.49102312156,0,1.0,37684.0,0.0
39691,18303,2.23,43,27,14,18,0,13,0,839,80.42,1644949800.0,0,3,45384.26222627737,1,1.0336141322534529,38769.57142857143,38769.57142857143
39335,18834,3.01,43,24,12,14,0,15,0,839,78.98,1645036200.0,0,1,68156.49102312156,0,1.0,39689.71428571428,0.0
35584,18608,2.85,47,27,17,15,40,11,0,1308,80.24000000000001,1645122600.0,0,1,68156.49102312156,0,1.0,40074.0,0.0
41463,21975,2.46,50,26,8,24,0,15,15,839,79.52,1645209000.0,1,1,46801.86222627737,1,1.0336141322534529,40806.857142857145,40806.857142857145
41390,20527,3.06,46,26,0,23,0,25,5,839,83.84,1645295400.0,1,1,46035.062226277376,1,1.0336141322534529,41954.57142857143,41954.57142857143
39619,21846,3.4,47,28,9,17,0,21,6,839,88.7,1645381800.0,0,1,46035.062226277376,1,1.0336141322534529,38410.857142857145,38410.857142857145
38000,17778,3.1,46,30,26,29,52,33,12,839,85.1,1645468200.0,0,2,48771.46222627737,1,1.0336141322534529,39297.42857142857,39297.42857142857
37216,22009,2.72,100,100,60,100,30,100,100,839,81.32,1645554600.0,0,2,48771.46222627737,1,1.0336141322534529,38943.857142857145,38943.857142857145
53740,26977,3.21,59,38,0,24,0,27,13,839,80.42,1645641000.0,0,2,56623.46222627737,1,1.0336141322534529,41001.71428571428,41001.71428571428
56559,28751,5.41,58,32,30,20,33,8,12,839,82.4,1645727400.0,0,2,48771.46222627737,1,1.0336141322534529,43998.142857142855,43998.142857142855
65704,33187,3.67,58,38,16,25,0,23,13,839,80.06,1645813800.0,1,3,66194.66222627737,1,1.0336141322534529,47461.142857142855,47461.142857142855
68095,29050,3.94,53,39,30,19,54,9,0,839,80.96000000000001,1645900200.0,1,2,68107.46222627738,1,1.0336141322534529,51276.142857142855,51276.142857142855
